,0
698,1
699,0
700,3
701,8
702,1
703,8
704,8
705,1
706,6
707,6
708,5
709,2
710,9
711,4
712,7
713,8
714,0
715,6
716,3
717,7
718,0
719,4
720,4
721,7
722,0
723,6
724,3
725,6
726,7
727,4
728,0
729,4
730,3
731,5
732,5
733,9
734,7
735,4
736,4
737,5
738,0
739,0
740,4
741,0
742,6
743,1
744,8
745,5
746,5
747,9
748,4
749,9
750,1
751,4
752,7
753,8
754,1
755,8
756,4
757,2
758,3
759,6
760,5
761,8
762,5
763,3
764,8
765,0
766,4
767,1
768,7
769,4
770,6
771,5
772,2
773,1
774,6
775,4
776,0
777,2
778,6
779,1
780,4
781,1
782,7
783,5
784,4
785,0
786,6
787,2
788,5
789,1
790,7
791,7
792,6
793,2
794,8
795,9
796,1
797,0
798,6
799,3
800,0
801,7
802,4
803,9
804,4
805,9
806,3
807,4
808,1
809,8
810,7
811,2
812,3
813,4
814,0
815,4
816,1
817,0
818,8
819,1
820,9
821,3
822,6
823,0
824,3
825,8
826,7
827,8
828,4
829,5
830,3
831,7
832,4
833,1
834,9
835,0
836,2
837,6
838,2
839,8
840,6
841,1
842,5
843,3
844,5
845,7
846,7
847,5
848,4
849,8
850,4
851,2
852,2
853,0
854,3
855,2
856,6
857,1
858,2
859,0
860,7
861,4
862,2
863,2
864,2
865,8
866,5
867,5
868,9
869,5
870,0
871,1
872,4
873,6
874,0
875,7
876,9
877,3
878,0
879,9
880,1
881,3
882,9
883,7
884,5
885,7
886,4
887,0
888,5
889,0
890,5
891,1
892,2
893,3
894,2
895,9
896,3
897,8
898,8
899,7
900,5
901,2
902,3
903,8
904,8
905,3
906,4
907,6
908,9
909,4
910,4
911,4
912,0
913,0
914,2
915,8
916,9
917,7
918,4
919,2
920,3
921,0
922,8
923,5
924,2
925,8
926,7
927,6
928,2
929,4
930,2
931,7
932,7
933,1
934,4
935,6
936,4
937,6
938,3
939,9
940,0
941,2
942,5
943,2
944,2
945,6
946,9
947,3
948,7
949,6
950,5
951,4
952,4
953,1
954,1
955,1
956,0
957,5
958,4
959,6
960,5
961,2
962,5
963,5
964,7
965,1
966,0
967,8
968,9
969,4
970,3
971,8
972,0
973,4
974,7
975,0
976,5
977,8
978,8
979,1
980,5
981,9
982,7
983,1
984,4
985,5
986,3
987,7
988,5
989,5
990,3
991,5
992,7
993,7
994,7
995,3
996,6
997,5
998,5
999,0
